variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,10103,0,10103,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,10103,0,1,2020,,,,,,
dia_ocu,object,10103,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,10103,0,24,"1, 15, 5, 7, 12",,,,,,
g_hora,object,10103,0,4,"1, 3, 2, 4",,,,,,
g_hora_5,object,10103,0,3,"1, 2, 3",,,,,,
mes_ocu,object,10103,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,10103,0,7,"3, 4, 5, 6, 7",,,,,,
depto_ocu,object,10103,0,22,"1, 22, 20, 5, 6",,,,,,
mupio_ocu,object,10103,0,299,"101, 116, 108, 2205, 2001",,,,,,
zona_ocu,object,10103,0,23,"6, 12, 99, 1, 19",,,,,,
sexo_per,object,10103,0,3,"1, 2, 9",,,,,,
edad_per,object,10103,0,79,"999, 33, 63, 52, 43",,,,,,
g_edad_80ymas,object,10103,0,16,"16, 5, 11, 9, 7",,,,,,
g_edad_60ymas,object,10103,0,12,"12, 5, 11, 9, 7",,,,,,
edad_quinquenales,object,10103,0,18,"18, 7, 13, 11, 9",,,,,,
estado_con,object,10103,0,3,"9, 1, 2",,,,,,
mayor_menor,object,10103,0,3,"1, 2, 9",,,,,,
tipo_veh,object,10103,0,18,"2, 1, 4, 3, 18",,,,,,
marca_veh,object,10103,0,102,"48, 52, 999, 27, 32",,,,,,
color_veh,object,10103,0,17,"3, 4, 99, 5, 6",,,,,,
modelo_veh,object,10103,0,49,"9999, 1993, 2004, 1999, 1994",,,,,,
g_modelo_veh,object,10103,0,7,"99, 3, 4, 6, 5",,,,,,
tipo_eve,object,10103,0,8,"1, 6, 3, 2, 8",,,,,,
anio,int64,10103,0,1,2020,2020.0,2020.0,2020.0,0.0,,
