variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,9514,0,9514,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,9514,0,1,2018,,,,,,
dia_ocu,object,9514,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,9514,0,24,"16, 12, 7, 22, 23",,,,,,
g_hora,object,9514,0,4,"3, 2, 4, 1",,,,,,
g_hora_5,object,9514,0,3,"2, 1, 3",,,,,,
mes_ocu,object,9514,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,9514,0,7,"1, 2, 3, 4, 5",,,,,,
mupio_ocu,object,9514,0,304,"115, 2207, 2102, 1903, 501",,,,,,
depto_ocu,object,9514,0,22,"1, 22, 21, 19, 5",,,,,,
zona_ocu,object,9514,0,23,"99, 5, 12, 6, 1",,,,,,
sexo_per,object,9514,0,3,"1, 9, 2",,,,,,
edad_per,object,9514,0,76,"28, 19, 60, 42, 17",,,,,,
g_edad_80ymas,object,9514,0,16,"4, 2, 11, 7, 8",,,,,,
g_edad_60ymas,object,9514,0,12,"4, 2, 11, 7, 8",,,,,,
edad_quinquenales,object,9514,0,16,"6, 4, 13, 9, 10",,,,,,
estado_con,object,9514,0,3,"9, 1, 2",,,,,,
mayor_menor,object,9514,0,3,"1, 2, 9",,,,,,
tipo_veh,object,9514,0,20,"4, 1, 3, 2, 18",,,,,,
marca_veh,object,9514,0,119,"32, 69, 6, 999, 27",,,,,,
color_veh,object,9514,0,17,"5, 2, 1, 6, 9",,,,,,
modelo_veh,object,9514,0,52,"9999, 2003, 1991, 1980, 1996",,,,,,
g_modelo_veh,object,9514,0,6,"99, 4, 3, 2, 5",,,,,,
tipo_eve,object,9514,0,8,"2, 1, 3, 7, 4",,,,,,
anio,int64,9514,0,1,2018,2018.0,2018.0,2018.0,0.0,,
