variable,dtype,non_null,missing,unique,example_values,min,max,mean,std,value_labels_json,variable_label
num_corre,object,10827,0,10827,"1, 2, 3, 4, 5",,,,,,
ano_ocu,object,10827,0,1,2019,,,,,,
dia_ocu,object,10827,0,31,"1, 2, 3, 4, 5",,,,,,
hora_ocu,object,10827,0,24,"5, 21, 7, 11, 8",,,,,,
g_hora,object,10827,0,4,"1, 4, 2, 3",,,,,,
g_hora_5,object,10827,0,3,"1, 3, 2",,,,,,
mes_ocu,object,10827,0,12,"1, 2, 3, 4, 5",,,,,,
dia_sem_ocu,object,10827,0,7,"2, 3, 4, 5, 6",,,,,,
depto_ocu,object,10827,0,22,"1, 21, 20, 19, 5",,,,,,
mupio_ocu,object,10827,0,309,"101, 102, 115, 114, 108",,,,,,
zona_ocu,object,10827,0,23,"3, 1, 18, 99, 7",,,,,,
sexo_per,object,10827,0,3,"1, 9, 2",,,,,,
edad_per,object,10827,0,78,"20, 26, 30, 40, 25",,,,,,
g_edad_80ymas,object,10827,0,16,"3, 4, 5, 7, 16",,,,,,
g_edad_60ymas,object,10827,0,13,"3, 4, 5, 7, 12",,,,,,
edad_quinquenales,object,10827,0,17,"5, 6, 7, 9, 18",,,,,,
estado_con,object,10827,0,3,"1, 9, 2",,,,,,
mayor_menor,object,10827,0,3,"1, 9, 2",,,,,,
tipo_veh,object,10827,0,18,"4, 2, 1, 3, 12",,,,,,
marca_veh,object,10827,0,108,"64, 90, 6, 41, 18",,,,,,
color_veh,object,10827,0,17,"5, 14, 8, 3, 1",,,,,,
modelo_veh,object,10827,0,47,"2018, 9999, 2019, 2007, 2006",,,,,,
g_modelo_veh,object,10827,0,7,"5, 99, 4, 2, 3",,,,,,
tipo_eve,object,10827,0,7,"6, 1, 3, 4, 2",,,,,,
anio,int64,10827,0,1,2019,2019.0,2019.0,2019.0,0.0,,
